bidder_id,pan_number,name_on_pan,it_compliance_status
BID00041,MAQCZ2155C,Vishal Steel Works,Compliant
BID00042,VZGFR1157E,Metro Electricals & Co,Compliant
BID00043,LMICY5431W,Vishal Electronics Private Limited,Compliant
BID00044,UQDFB1931O,Sterling Constructions,Compliant
BID00045,ISQPK8833W,National Electronics LLP,Compliant
BID00046,TSCPF6907J,National Agro Industries Pvt Ltd,Compliant
BID00047,LGGCA8425C,Continental Technologies Private Limited,Compliant
BID00048,GOOCW2962S,Sterling Electronics Pvt Ltd,Compliant
BID00049,EGTCY6869U,Apex Suppliers,Compliant
BID00050,DOZCQ5219P,Reliable Infra Solutions Private Limited,Compliant
BID00051,CKGPD4665U,Sterling Exports LLP,Compliant
BID00052,BVXCJ6100P,Vintage Suppliers,Compliant
BID00053,AJLCH8065U,Elite Agro Industries LLP,Compliant
BID00054,UFVCR2283E,Prime Suppliers Private Limited,Compliant
BID00055,JUPCA1075X,Shree Technologies Pvt Ltd,Compliant
BID00056,UWNCO6098N,Vintage Engineering Works,Compliant
BID00057,PCSCU6772O,Vishal Steel Works Ltd,Compliant
BID00058,RMCCC0078R,Krishna Logistics Private Limited,Compliant
BID00059,PJPPG1483R,Reliable Engineering Works LLP,Compliant
BID00060,HTXFL0854E,Krishna Traders Private Limited,Compliant
BID00061,BCLFN4427D,Bharat Infra Solutions Ltd,Compliant
BID00062,KPACJ9772D,Vishal Engineering Works Private Limited,Compliant
BID00063,LKQCJ1038T,National Textiles Ltd,Compliant
BID00064,TFUCC5159L,National Constructions LLP,Compliant
BID00065,YOQCT3934P,Continental Steel Works,Non-Compliant
BID00066,OUXCO9516Q,Sterling Steel Works Ltd,Compliant
BID00067,SZNCT1324K,Global Engineering Works Private Limited,Compliant
BID00068,ZSKCT7056K,Bharat Logistics LLP,Compliant
BID00069,EZECJ8178Q,Modern Textiles & Co,Compliant
BID00070,KRGFO6772H,Global Steel Works Pvt Ltd,Compliant
BID00071,NZVCZ6804L,Vishal Constructions Ltd,Compliant
BID00072,CXVCL9433M,Metro Technologies & Co,Compliant
BID00073,HVSCE7469A,Bharat Technologies Pvt Ltd,Compliant
BID00074,DGQCT4195A,Vishal Suppliers LLP,Compliant
BID00075,RNJCQ5750P,Reliable Infra Solutions,Compliant
BID00076,BOVCF8694F,United Textiles Private Limited,Compliant
BID00077,WBRCI1387M,Modern Fabricators LLP,Compliant
BID00078,PVOCK1324W,Reliable Enterprises & Co,Compliant
BID00079,QUBPV6386A,Vintage Agro Industries LLP,Compliant
BID00080,ONKPU2901Q,Apex Steel Works Pvt Ltd,Compliant
BID00081,XMDCC4840V,Vintage Fabricators,Compliant
BID00082,FZUFH7053Z,Global Logistics Ltd,Compliant
BID00083,RIWCY5571Q,National Steel Works & Co,Compliant
BID00084,FYHPU3551S,Vishal Enterprises LLP,Compliant
BID00085,UGFFS4646J,National Engineering Works,Compliant
BID00086,KMICE3778M,Sai Infra Solutions & Co,Compliant
BID00087,SEEPQ4840M,Global Textiles Ltd,Compliant
BID00088,ACDCI7734S,Elite Fabricators Ltd,Compliant
BID00089,TFNCQ0078Q,Prime Exports LLP,Compliant
BID00090,JRZFS3886T,Vishal Electronics Pvt Ltd,Compliant
BID00091,VGOCW1031W,Metro Constructions Private Limited,Compliant
BID00092,OZMCM3193L,Bharat Pharma Private Limited,Compliant
BID00093,DRJCM8982J,Universal Electricals LLP,Compliant
BID00094,SDQCS2092H,Universal Electricals Ltd,Compliant
BID00095,QWMCU1936Y,Universal Infra Solutions & Co,Compliant
BID00096,YAVPZ4999B,Global Agro Industries Private Limited,Compliant
BID00097,TQSCA7757F,United Textiles Private Limited,Compliant
BID00098,YAJCO7937A,Bharat Electronics LLP,Compliant
BID00099,FYMPO7645P,Vishal Logistics Ltd,Compliant
BID00100,NJXFD0555E,National Pharma & Co,Non-Compliant
BID00101,AGACG5030B,Precision Fabricators,Compliant
BID00102,LXJFC6656L,Reliable Logistics & Co,Compliant
BID00103,RONCH2329X,Shree Fabricators & Co,Compliant
BID00104,CAPFW8204R,Om Manufacturing Co Pvt Ltd,Compliant
BID00105,HDRFH4255X,Prime Textiles Private Limited,Compliant
BID00106,HSUFB5951H,Elite Suppliers Private Limited,Compliant
BID00107,JPBCC1775P,Modern Engineering Works LLP,Compliant
BID00108,JNJPI3848X,Universal Textiles LLP,Compliant
BID00109,OPSCJ1338P,Bharat Traders LLP,Compliant
BID00110,SMXCR9958C,Apex Infra Solutions Private Limited,Non-Compliant
BID00111,AOAPQ7525W,Elite Electronics Pvt Ltd,Compliant
BID00112,GKJCM4262C,Metro Electricals LLP,Compliant
BID00113,MLUCS9989H,Shree Infra Solutions Pvt Ltd,Non-Compliant
BID00114,HOOCM6537Z,Bharat Constructions Pvt Ltd,Compliant
BID00115,JYLCV5372H,Precision Electronics Private Limited,Non-Compliant
BID00116,DELCR5105T,Apex Electricals Pvt Ltd,Compliant
BID00117,LKMCC3974T,Bharat Enterprises Private Limited,Compliant
BID00118,LLVCU9139G,Vintage Constructions LLP,Compliant
BID00119,JVKCD9191Y,Continental Suppliers LLP,Compliant
BID00120,MQGCV1434T,National Agro Industries,Compliant
BID00121,QCTFV6165U,Apex Exports Ltd,Compliant
BID00122,ZMHCC1913O,Metro Technologies LLP,Compliant
BID00123,VCWCU1897Q,National Fabricators Pvt Ltd,Compliant
BID00124,RKTCG4402I,Global Infra Solutions,Compliant
BID00125,WNQCT3313O,United Electricals,Compliant
BID00126,DJDCM4131U,United Suppliers LLP,Compliant
BID00127,DVZCQ6447O,Apex Traders & Co,Compliant
BID00128,OGOFL5774G,Universal Pharma Pvt Ltd,Compliant
BID00129,PLQCZ2203I,Continental Logistics,Compliant
BID00130,ZUXCI8182W,Metro Industries Private Limited,Compliant
BID00131,QWCCQ7684P,Sterling Steel Works Pvt Ltd,Compliant
BID00132,KZVCP2835S,Apex Enterprises Ltd,Non-Compliant
BID00133,CJCPV9133W,Vishal Infra Solutions LLP,Compliant
BID00134,RASCD9410M,Continental Suppliers Ltd,Compliant
BID00135,NAQCO3279T,Bharat Technologies Pvt Ltd,Compliant
BID00136,IDHCC2672W,Sterling Logistics & Co,Compliant
BID00137,KGQCC5999E,Sai Suppliers & Co,Compliant
BID00138,BGBPB9327Y,National Traders Ltd,Compliant
BID00139,LYGCH0446J,National Fabricators,Compliant
BID00140,USECE7871A,Apex Pharma Ltd,Non-Compliant
BID00141,TAWCA2431B,United Industries Private Limited,Compliant
BID00142,WUIPC5025J,Sterling Enterprises & Co,Compliant
BID00143,AKGFL6603Y,Universal Suppliers Private Limited,Non-Compliant
BID00144,XLTFS0180S,Metro Agro Industries,Compliant
BID00145,CLICD5923I,Continental Industries Private Limited,Compliant
BID00146,SZKCB6290M,Prime Technologies Pvt Ltd,Compliant
BID00147,ABXCO8088D,National Electricals Pvt Ltd,Compliant
BID00148,REFFF2416T,Elite Traders & Co,Compliant
BID00149,QUGCZ5037P,Bharat Agro Industries Private Limited,Compliant
BID00150,XUBCP5799D,Vintage Suppliers Pvt Ltd,Compliant
